iter	Passed	Remaining
0	3	362
1	7	346
2	10	330
3	12	304
4	16	305
5	18	297
6	21	290
7	24	284
8	26	272
9	29	261
10	31	251
11	32	240
12	34	229
13	35	220
14	37	212
15	38	203
16	40	195
17	41	188
18	42	182
19	44	176
20	45	170
21	46	164
22	47	158
23	48	153
24	49	148
25	50	143
26	51	138
27	52	134
28	53	130
29	54	126
30	55	122
31	55	118
32	56	115
33	57	112
34	58	108
35	59	105
36	60	102
37	61	99
38	61	96
39	62	93
40	63	91
41	63	87
42	64	85
43	65	82
44	65	80
45	66	78
46	67	75
47	67	73
48	68	71
49	69	69
50	70	67
51	70	65
52	71	63
53	72	61
54	72	59
55	73	57
56	74	56
57	75	54
58	75	52
59	76	51
60	77	49
61	78	47
62	78	46
63	79	44
64	80	43
65	81	41
66	81	40
67	82	38
68	83	37
69	84	36
70	84	34
71	85	33
72	86	31
73	87	30
74	87	29
75	88	28
76	89	26
77	90	25
78	90	24
79	91	22
80	92	21
81	93	20
82	93	19
83	94	18
84	95	16
85	95	15
86	96	14
87	97	13
88	98	12
89	98	10
90	99	9
91	100	8
92	101	7
93	102	6
94	103	5
95	103	4
96	104	3
97	105	2
98	105	1
99	106	0
